COLUMN_NAME,DATA_TYPE
MP_RESERVED_X,TEXT
MP_RESERVED_Y,TEXT
MP_SENT_BY_LIB_VERSION,TEXT
MSCLKID,TEXT
MUSICFETCH_RESOLVED,TEXT
NAME,TEXT
NON_PROFIT,TEXT
NOTIFICATION_TYPE,TEXT
NUMBER_OF_PEOPLE,TEXT
NUMBER_OF_SONGS,TEXT
NUMBER_OF_SOUND_EFFECTS,TEXT
ONBOARDING_PAGE,TEXT
OPEN,TEXT
ORG_CLIENT_AUD_SIZE,TEXT
OS_DEFAULT_THEME,TEXT
PAGE_TITLE,TEXT
PATH,TEXT
PAYMENT_METHOD,TEXT
PERSONA,TEXT
PILLAR_PLAYLIST_TITLE,TEXT
PLAN_ID,TEXT
PLAN_NAME,TEXT
PLATFORM,TEXT
PLAYER_TYPE,TEXT
PLAYLISTS,TEXT
PLAYLIST_ID,TEXT
PLAYLIST_NAME,TEXT
PLAYLIST_SEARCH_VIEW,TEXT
PLAYLIST_TYPE,TEXT
PLAY_COMPLETED,TEXT
PLAY_DURATION,TEXT
PLUGIN_VERSION,TEXT
PREVIOUS_PLAN_ID,TEXT
PREVIOUS_PLAN_NAME,TEXT
PREVIOUS_TEAM_ROLE,TEXT
PREVIOUS_THEME_SOURCE,TEXT
PRICE,TEXT
PRICING_PANEL_EXPERIMENT_ID,TEXT
PRICING_PANEL_VARIANT,TEXT
PRODUCTION_TYPE,TEXT
PRODUCT_SUGGESTION,TEXT
PRODUCT_TYPE,TEXT
PROJECTABLE_ID,TEXT
PROJECTABLE_TYPE,TEXT
PROJECT_ID,TEXT
PROJECT_ITEM_ID,TEXT
PROJECT_NAME,TEXT
PROJECT_TITLE,TEXT
PURCHASE_PRICE,TEXT
PURCHASE_TYPE,TEXT
QUERY,TEXT
REACTIVATED_PLAN,TEXT
REACTIVATION_TRIGGER,TEXT
READ_AT,TEXT
REASON,TEXT
REASON_CATEGORY,TEXT
RECOMMENDATION_RANK,TEXT
REF,TEXT
REFERRER,TEXT
REFERRING_USER_ID,TEXT
REPLAY_ENV,TEXT
REPLAY_LENGTH_MS,TEXT
REPLAY_REGION,TEXT
REPLAY_START_TIME,TEXT
REPLAY_START_URL,TEXT
REPLAY_VERSION,TEXT
RESOLUTIONS,TEXT
RESOLUTION_OPTION,TEXT
RESPONSE,TEXT
RESULTS,TEXT
RESULTS_COUNT,TEXT
RESULT_COUNT,TEXT
REVENUE,TEXT
SALE_DESCRIPTION,TEXT
SALE_PRICE,TEXT
SAVED_PAYMENT,TEXT
SEARCH_TERM,TEXT
SEARCH_TYPE,TEXT
SECTION,TEXT
SEEK_END,TEXT
SEEK_START,TEXT
SEGMENT_TYPE,TEXT
SELECTED_PLAN,TEXT
SELLABLE_ID,TEXT
SELLABLE_NAME,TEXT
SEQ_NO,TEXT
SERVER_EVENT_CREATED_AT_TIMESTAMP,TEXT
SERVER_EVENT_PROCESSED_AT_TIMESTAMP,TEXT
SERVICE,TEXT
SESSION_ID,TEXT
SHOT_DETAILS,TEXT
SHOW_PLAYED_TODAY,TEXT
SHOW_PREVIOUSLY_DOWNLOADED,TEXT
SHOW_PREVIOUSLY_LICENSED,TEXT
SHUFFLED,TEXT
SIGNED_IN,TEXT
SIGNED_IN_METHOD,TEXT
SIGNED_UP_METHOD,TEXT
SIGN_UP_FUNNEL,TEXT
SIGN_UP_PAGE_PERSONA,TEXT
SIGN_UP_PAGE_REFERRER,TEXT
SIGN_UP_TRIGGER,TEXT
SINGLE_SONG_LICENSE_COUNT,TEXT
SONGS_SIMILAR_TO,TEXT
SONG_ARTIST,TEXT
SONG_CONTENT_PARTNER,TEXT
SONG_EXTERNAL_ID,TEXT
SONG_FILE_FORMAT,TEXT
SONG_ID,TEXT
SONG_IDS,TEXT
SONG_NAME,TEXT
SONG_PARENT_ID,TEXT
SONG_TIERS,TEXT
SONG_TITLE,TEXT
SONG_TYPE,TEXT
SONG_VERSION_DESCRIPTION,TEXT
SONG_VERSION_ID,TEXT
SORT,TEXT
