CONTENT_TYPE,CREATED_AT,DESCRIPTION,FILE,ID,PUBLISHED,TITLE,UPDATED_AT,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
,2025-05-01 18:58:46.188000000 +00:00,"",Creator_to_Personal_-_5_1_25_List.csv,12,false,	 Creator -> Personal: List 8 - 5/1/25,2025-05-01 18:58:46.188000000 +00:00,2025-09-17 22:10:43.259000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393361491,1758147013265
image/png,2025-08-15 14:58:17.165000000 +00:00,,inthewild_banner_1_082025.png,64,false,inthewild_banner_1_082025.png,2025-08-15 14:58:17.165000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013394397041,1758147013265
,2025-05-22 16:41:55.273000000 +00:00,"",20250523_inapp-notif_personal-pro-offer-1.csv,20,false,20250523_inapp-notif_personal-pro-offer-1,2025-05-22 16:41:55.273000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393779051,1758147013265
,2025-06-05 17:09:46.661000000 +00:00,"",20250612_inapp-notif_NotCreatedProjectin6mo.csv,26,false,20250612_inapp-notif_NotCreatedProjectin6mo,2025-06-05 17:09:46.661000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013394120235,1758147013265
,2025-04-25 18:04:56.949000000 +00:00,"",Creator_-_Personal__4_25_25_List.csv,8,false,Creator -> Personal: List 4 - 4/25/25,2025-04-25 18:04:56.949000000 +00:00,2025-09-17 22:10:43.259000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393105899,1758147013265
,2025-05-28 14:56:59.543000000 +00:00,"",20250529_inapp-notif_NeverUsedAISE.csv,21,false,20250529_inapp-notif_NeverUsedAISE,2025-05-28 14:56:59.543000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393833705,1758147013265
,2025-06-05 16:43:56.058000000 +00:00,"",20250606_inappnotif_noyoutubechannel_subscription_i.csv,24,false,20250606_inappnotif_noyoutubechannel_subscriptions,2025-06-05 16:43:56.058000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393988561,1758147013265
,2025-06-05 17:09:26.290000000 +00:00,"",20250612_inapp-notif_NotCreatedProjectin6mo-ActiveProjectUser.csv,25,false,20250612_inapp-notif_NotCreatedProjectin6mo-ActiveProjectUser,2025-06-05 17:09:26.290000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013394061785,1758147013265
,2025-06-02 20:15:48.107000000 +00:00,"",20250604_inapp-notif_NoProfiler.csv,22,false,20250604_inapp-notif_NoProfiler,2025-06-02 20:15:48.107000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393883854,1758147013265
,2025-04-22 22:31:16.717000000 +00:00,"Creator to Personal Notification List: 

List 1 - 500 contacts",Creator_-_InApp_-_4_22_25__2_.csv,4,false,Creator -> Personal: List 1 - 4/22/25,2025-04-22 22:31:16.717000000 +00:00,2025-09-17 22:10:43.259000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013392882570,1758147013265
,2025-02-26 22:23:40.179000000 +00:00,A csv to test targeted notifications in production.,test_targeter_prod.csv,1,false,Test - Targeted Notifications,2025-02-26 22:23:40.179000000 +00:00,2025-09-17 22:10:43.259000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013392731206,1758147013265
,2025-05-02 15:30:28.348000000 +00:00,"",Creator_to_Personal_-_In_App_-_5.2.25_List.csv,14,false,Creator -> Personal: List 9 - 5/2/25,2025-05-02 15:30:28.348000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013393420095,1758147013265
,2025-07-08 19:17:11.425000000 +00:00,"",20250709_inapp-notif_NotUsedSupe.csv,30,false,20250709_inapp-notif_NotUsedSupe,2025-07-08 19:17:11.425000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013394284694,1758147013265
,2025-07-18 19:18:03.305000000 +00:00,"",20250721_inapp-notif_ProDownloadVideo-Upsell.csv,63,false,20250721_inapp-notif_ProDownloadVideo-Upsell,2025-07-18 19:18:03.305000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013394342693,1758147013265
,2025-06-23 16:54:53.216000000 +00:00,"",20250630_inapp-notif_ResubToEmail.csv,28,false,20250630_inapp-notif_ResubToEmail,2025-06-23 16:54:53.216000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013394231176,1758147013265
,2025-06-13 15:18:23.349000000 +00:00,"",20250617_inapp-notif_NotCreatedPlaylist.csv,27,false,20250617_inapp-notif_NotCreatedPlaylist,2025-06-13 15:18:23.349000000 +00:00,2025-09-17 22:10:43.260000000 +00:00,2025-09-17 22:10:16.044000000 +00:00,1758147013394176639,1758147013265
image/png,2026-03-23 23:29:15.147000000 +00:00,,V6__Discovery_Block_20__Op1.png,88,false,V6— Discovery Block 20% Op1.png,2026-03-23 23:29:15.147000000 +00:00,2026-04-02 14:49:37.723000000 +00:00,2026-04-02 14:43:29.246000000 +00:00,1775141003452008693,1758147013265
