CONTENT_TYPE_ID,CREATED_AT,ID,PUBLISHED,PUBLISHED_AT,PUBLISH_AT,UPDATED_AT,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
12,2025-06-27 11:39:31.308000000 +00:00,461046,true,2025-06-27 11:39:31.320000000 +00:00,,2025-06-27 11:39:31.322000000 +00:00,2025-09-17 22:10:57.864000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147021899583968,1758147013551
12,2025-07-18 10:12:22.673000000 +00:00,757099,true,2025-07-18 10:12:22.692000000 +00:00,,2025-07-18 10:12:22.698000000 +00:00,2025-09-17 22:11:06.623000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147026244001663,1758147013551
12,2025-07-11 10:54:29.977000000 +00:00,671470,true,2025-07-11 10:54:29.987000000 +00:00,,2025-07-11 10:54:29.989000000 +00:00,2025-09-17 22:11:04.095000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147025023052771,1758147013551
12,2025-07-11 10:39:37.053000000 +00:00,646720,true,2025-07-11 10:39:37.066000000 +00:00,,2025-07-11 10:39:37.070000000 +00:00,2025-09-17 22:11:03.367000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147024674059343,1758147013551
12,2025-08-22 09:19:56.591000000 +00:00,943674,true,2025-08-22 09:19:56.602000000 +00:00,,2025-08-22 09:19:56.605000000 +00:00,2025-09-17 22:11:12.109000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147029221640627,1758147013551
12,2025-07-18 09:36:38.678000000 +00:00,725069,true,2025-07-18 09:36:38.697000000 +00:00,,2025-07-18 09:36:38.713000000 +00:00,2025-09-17 22:11:05.684000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147025833150746,1758147013551
12,2025-09-05 09:38:57.892000000 +00:00,978238,true,2025-09-05 09:38:57.903000000 +00:00,,2025-09-05 09:38:57.906000000 +00:00,2025-09-17 22:11:13.121000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147029702235840,1758147013551
12,2025-06-27 11:20:28.421000000 +00:00,430088,true,2025-06-27 11:20:28.433000000 +00:00,,2025-06-27 11:20:28.436000000 +00:00,2025-09-17 22:10:56.897000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147021381604669,1758147013551
12,2025-05-29 22:19:36.467000000 +00:00,30202,true,2025-05-29 22:19:36.487000000 +00:00,,2025-05-29 22:19:36.491000000 +00:00,2025-09-17 22:10:44.720000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147014294824375,1758147013551
12,2025-07-11 09:58:42.393000000 +00:00,583801,true,2025-07-11 09:58:42.405000000 +00:00,,2025-07-11 09:58:42.408000000 +00:00,2025-09-17 22:11:01.518000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147023761226387,1758147013551
12,2025-07-04 09:33:29.849000000 +00:00,503923,true,2025-07-04 09:33:29.862000000 +00:00,,2025-07-04 09:33:29.865000000 +00:00,2025-09-17 22:10:59.137000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147022510841729,1758147013551
12,2025-06-13 09:10:31.973000000 +00:00,140982,true,2025-06-13 09:10:32.007000000 +00:00,,2025-06-13 09:10:32.011000000 +00:00,2025-09-17 22:10:48.064000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147016987632573,1758147013551
12,2025-05-29 22:03:25.003000000 +00:00,12190,true,2025-05-29 22:03:25.020000000 +00:00,,2025-05-29 22:03:25.024000000 +00:00,2025-09-17 22:10:44.188000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147013982717446,1758147013551
12,2025-07-11 09:32:46.264000000 +00:00,554422,true,2025-07-11 09:32:46.280000000 +00:00,,2025-07-11 09:32:46.288000000 +00:00,2025-09-17 22:11:00.620000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147023269082671,1758147013551
