CMS_ENTRY_ID,CREATED_AT,ID,READ_AT,UPDATED_AT,USER_ID,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
142008,2025-06-17 15:45:40.346000000 +00:00,632821,,2025-06-17 15:45:40.346000000 +00:00,1485737,2025-11-10 18:56:58.009000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800233105531767,1762800222882
474220,2025-07-04 09:10:42.563000000 +00:00,1106857,,2025-07-04 09:10:42.563000000 +00:00,56129,2025-11-10 18:57:12.386000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800239927060545,1762800222882
450165,2025-06-27 11:32:41.450000000 +00:00,1064669,,2025-06-27 11:32:41.450000000 +00:00,775890,2025-11-10 18:57:11.075000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800239267632456,1762800222882
380654,2025-06-27 10:48:59.792000000 +00:00,995143,,2025-06-27 10:48:59.792000000 +00:00,158935,2025-11-10 18:57:08.887000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800238301006255,1762800222882
933097,2025-08-15 09:19:04.571000000 +00:00,1722611,,2025-08-15 09:19:04.571000000 +00:00,1732092,2025-11-10 18:57:32.281000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800248764997117,1762800222882
522190,2025-07-04 09:44:59.927000000 +00:00,1154833,,2025-07-04 09:44:59.927000000 +00:00,1321251,2025-11-10 18:57:13.869000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800240624162980,1762800222882
34952,2025-05-29 22:23:01.482000000 +00:00,252134,,2025-05-29 22:23:01.482000000 +00:00,99052,2025-11-10 18:56:47.193000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800227890934966,1762800222882
1071369,2025-09-19 10:12:16.606000000 +00:00,1900681,2025-10-16 13:16:35.883000000 +00:00,2025-10-16 13:16:35.883000000 +00:00,73714,2025-11-10 18:57:38.014000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800251343454967,1762800222882
802611,2025-07-25 18:13:04.174000000 +00:00,1481702,,2025-07-25 18:13:04.174000000 +00:00,80295,2025-11-10 18:57:24.391000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800245343293370,1762800222882
27,2025-05-19 01:11:35.035000000 +00:00,152689,2025-05-19 01:11:36.988000000 +00:00,2025-05-19 01:11:36.989000000 +00:00,1325670,2025-11-10 18:56:44.022000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800226224644928,1762800222882
1000382,2025-09-12 09:17:44.786000000 +00:00,1822448,,2025-09-12 09:17:44.786000000 +00:00,75133,2025-11-10 18:57:35.516000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800250225987586,1762800222882
