DATE,METRIC_NAME,METRIC_VALUE,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,MR_SIGNAL,ANY_SIGNAL
2023-04-21,ACTIVE_MONTHLY_SUBSCRIBERS,17454,13,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-22,ACTIVE_MONTHLY_SUBSCRIBERS,17453,1,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-23,ACTIVE_MONTHLY_SUBSCRIBERS,17451,2,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-24,ACTIVE_MONTHLY_SUBSCRIBERS,17458,7,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-25,ACTIVE_MONTHLY_SUBSCRIBERS,17440,18,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-26,ACTIVE_MONTHLY_SUBSCRIBERS,17438,2,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-27,ACTIVE_MONTHLY_SUBSCRIBERS,17442,4,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-28,ACTIVE_MONTHLY_SUBSCRIBERS,17458,16,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-29,ACTIVE_MONTHLY_SUBSCRIBERS,17467,9,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-04-30,ACTIVE_MONTHLY_SUBSCRIBERS,17462,5,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-01,ACTIVE_MONTHLY_SUBSCRIBERS,17455,7,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-02,ACTIVE_MONTHLY_SUBSCRIBERS,17460,5,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-05-03,ACTIVE_MONTHLY_SUBSCRIBERS,17467,7,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
