DATE,METRIC_NAME,YOY_DELTA,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,MR_SIGNAL,ANY_SIGNAL
2024-03-22,DELTA_ACTIVE_SUBSCRIBERS,-5323,3,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-03-23,DELTA_ACTIVE_SUBSCRIBERS,-5345,22,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-03-24,DELTA_ACTIVE_SUBSCRIBERS,-5320,25,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-03-25,DELTA_ACTIVE_SUBSCRIBERS,-5308,12,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-03-26,DELTA_ACTIVE_SUBSCRIBERS,-5306,2,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-03-27,DELTA_ACTIVE_SUBSCRIBERS,-5333,27,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-03-28,DELTA_ACTIVE_SUBSCRIBERS,-5375,42,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-03-29,DELTA_ACTIVE_SUBSCRIBERS,-5447,72,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,true,true
2024-03-30,DELTA_ACTIVE_SUBSCRIBERS,-5475,28,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-03-31,DELTA_ACTIVE_SUBSCRIBERS,-5503,28,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-01,DELTA_ACTIVE_SUBSCRIBERS,-5498,5,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-02,DELTA_ACTIVE_SUBSCRIBERS,-5564,66,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-03,DELTA_ACTIVE_SUBSCRIBERS,-5583,19,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-04,DELTA_ACTIVE_SUBSCRIBERS,-5622,39,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-05,DELTA_ACTIVE_SUBSCRIBERS,-5672,50,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-06,DELTA_ACTIVE_SUBSCRIBERS,-5725,53,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-07,DELTA_ACTIVE_SUBSCRIBERS,-5730,5,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-08,DELTA_ACTIVE_SUBSCRIBERS,-5698,32,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-09,DELTA_ACTIVE_SUBSCRIBERS,-5702,4,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-10,DELTA_ACTIVE_SUBSCRIBERS,-5745,43,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-11,DELTA_ACTIVE_SUBSCRIBERS,-5749,4,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-12,DELTA_ACTIVE_SUBSCRIBERS,-5733,16,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-13,DELTA_ACTIVE_SUBSCRIBERS,-5749,16,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-14,DELTA_ACTIVE_SUBSCRIBERS,-5739,10,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-15,DELTA_ACTIVE_SUBSCRIBERS,-5726,13,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-16,DELTA_ACTIVE_SUBSCRIBERS,-5745,19,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-17,DELTA_ACTIVE_SUBSCRIBERS,-5764,19,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-18,DELTA_ACTIVE_SUBSCRIBERS,-5783,19,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-19,DELTA_ACTIVE_SUBSCRIBERS,-5782,1,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-20,DELTA_ACTIVE_SUBSCRIBERS,-5783,1,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-21,DELTA_ACTIVE_SUBSCRIBERS,-5764,19,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-22,DELTA_ACTIVE_SUBSCRIBERS,-5756,8,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-23,DELTA_ACTIVE_SUBSCRIBERS,-5767,11,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-24,DELTA_ACTIVE_SUBSCRIBERS,-5740,27,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-25,DELTA_ACTIVE_SUBSCRIBERS,-5732,8,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-26,DELTA_ACTIVE_SUBSCRIBERS,-5730,2,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-27,DELTA_ACTIVE_SUBSCRIBERS,-5771,41,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-28,DELTA_ACTIVE_SUBSCRIBERS,-5773,2,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-29,DELTA_ACTIVE_SUBSCRIBERS,-5764,9,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-04-30,DELTA_ACTIVE_SUBSCRIBERS,-5750,14,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-01,DELTA_ACTIVE_SUBSCRIBERS,-5755,5,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-02,DELTA_ACTIVE_SUBSCRIBERS,-5789,34,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-03,DELTA_ACTIVE_SUBSCRIBERS,-5760,29,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-04,DELTA_ACTIVE_SUBSCRIBERS,-5776,16,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-05,DELTA_ACTIVE_SUBSCRIBERS,-5763,13,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-06,DELTA_ACTIVE_SUBSCRIBERS,-5748,15,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-05-07,DELTA_ACTIVE_SUBSCRIBERS,-5807,59,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
